name,rot_config,dir_J_tot_init,dir_gamma,dir_v_inf,dir_b_inf,dir_omega,N_tot,M_tot,gamma,R_crit,R_grav,v_esc,tau,v_inf,b_inf,v_imp,b_imp,theta_imp,J_tot_init,M_targ,M_proj,Fe_targ,Fe_proj,R_NR_targ,R_NR_proj,omega_targ,omega_proj,P_rot_targ,P_rot_proj,J_rot_targ,J_rot_proj,theta_targ,theta_proj,J_tot_init_sign,M_LR,M_SLR,N_bound,M_bound,J_bound,Fe_bound,N_p,M_p,R_p,J_p,omega_sb,P_rot_sb,omega,P_rot,Fe_p,F_proj_p,N_disk,M_disk,J_disk,HSSL,Fe_disk,F_proj_disk,canup_M_p,canup_M_disk,canup_M_ej,N_ej,M_ej,J_ej,Fe_ej,F_proj_ej,N_groups,N_frag,planet_disk_mixing_delta,accretion_efficiency,fate_LR,fate_SLR,graze_and_merge_threshold,hit_and_run_threshold,E_pot,E_kin,E_tot,SLR_a,SLR_e,SLR_peri,bound,bound_flag,bound_epsilon,bound_trajectory_angle,collision_type,time,pmassmean,pmassmin,pmassmax,incomplete_merger_flag
DD_J1000_G0100_V01000_B07202_OMEGA0900,DD,1.0,0.1,0.1,0.7202,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,13.837243864360108,9.51861098094901,0.5610229320111013,0.10018824613789797,0.7219506247095363,0.9585702033778529,0.0754571408885078,46.21576333897976,3.6025302287660936e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.0005691310094832651,2.8310136400013164,3.066656398812248,6.587417976694421e+34,1.6078181271890696e+33,179.99877767758235,179.99833729078415,-1.0,6.23910187326726e+24,0,100477,1.044690712512517,3.687524602947847e+34,0.33081516217317614,100414,1.0440627061472585,1.784871068796297,3.721533820997882e+34,nan,nan,0.0002567159551659798,6.7986785272691215,0.33099538100572046,0.08899054063913264,63,0.051057428069812616,3.442716488124895e+32,0.6684910370023585,0.031200743571665763,0.9338950157436013,1.0435132499102018,0.001177462602315468,0.002539180057363687,253,0.002539180057363687,8.890946324113567e+32,0.0,0.7833689865059558,1,1,0.8449044751044688,0.9734081940865299,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,103.24000000000397,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V02000_B07087_OMEGA0900,DD,1.0,0.1,0.2,0.7087,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,7.034233834445547,9.51861098094901,0.5520608241239351,0.2002826144377887,0.710420692993951,0.9741315495279405,0.1460633461799741,45.26915438098678,3.602517260001064e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.0005691308508801469,2.8310136400013164,3.066657253415837,6.587417976694421e+34,1.607818137357953e+33,179.99877767758235,179.998337285085,-1.0,6.219496729419896e+24,6.420043791867981e+21,100273,1.0426543425766983,3.7767906190478333e+34,0.331386094421764,100242,1.0423450276099162,1.7905203214024967,3.7934331463216617e+34,nan,nan,0.0002637163331852154,6.618206885079566,0.33146563469972207,0.08767847199322912,31,0.02514755827497357,1.6667812134764678e+32,0.6834047028253806,0.06334729213930682,0.8993396165398472,1.0411253330721078,0.0014987397677876494,0.004605819729985618,457,0.0045755499931826,1.896683952532561e+33,0.017129539043835292,0.8344162112005916,2,2,0.8116611445466181,0.9390294486785692,partial accretion,super-catastrophic disruption,0.005,0.1,-3.1838955347056417e+27,2.1337220081334855e+27,-1.0501735265721562e+27,198.73595692768515,0.9953488093822572,0.9243588182701811,True,False,0.1,174.12273976696528,partial accretion,102.95000000000384,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V03000_B06908_OMEGA0900,DD,1.0,0.1,0.3,0.6908,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,4.812177345008441,9.51861098094901,0.5380334138770101,0.30039735925662575,0.6923693190269148,0.9995287507560872,0.2080839744816383,43.81795486911088,3.6025180337117624e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.000569130972344386,2.8310136400013164,3.0666565989281915,6.587417976694421e+34,1.6078181480858702e+33,179.99877767758235,179.998337283989,-1.0,6.214404985148561e+24,4.63296290110437e+21,100062,1.0405451740850664,3.852564159433123e+34,0.33199190106538257,99991,1.03983921135864,1.7879255642980916,3.888856891417413e+34,nan,nan,0.0002655600304309286,6.57225881907814,0.3321513430025044,0.08573945410616567,71,0.057395343611900594,3.772400271464552e+32,0.6956908810498411,0.0971438390529368,0.970597349311562,1.0394101164841905,0.001155233321379752,0.006664542764310687,668,0.006684718484814677,3.67736210727341e+33,0.02198402102682597,0.8447415886598284,2,2,0.8848578952053964,0.9301007827453056,partial accretion,super-catastrophic disruption,0.005,0.1,-1.2711413114003434e+27,1.009563301231569e+28,8.824491700915347e+27,nan,nan,nan,False,False,0.1,178.55735125563754,partial accretion,102.61000000000372,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V04000_B06678_OMEGA0900,DD,1.0,0.1,0.4,0.6678,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,3.733853781118252,9.51861098094901,0.5200777737322948,0.40051739398673686,0.6692632460175638,1.0340373944038954,0.25922812137813067,42.010227217069115,3.6025172036329175e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.0005691309505160093,2.8310136400013164,3.0666567165463525,6.587417976694421e+34,1.6078181459130746e+33,179.99877767758235,179.99833728903056,-1.0,6.175991594316094e+24,2.0027932770057115e+22,99464,1.034566456679503,4.0972299857895587e+34,0.33377789159941695,99457,1.034495538618175,1.784413168196536,4.1011069283347367e+34,nan,nan,0.00028147237470067186,6.200712428174797,0.33380077316835827,0.08179938944441044,7,0.005765696042936641,4.0915800791652515e+31,0.7109215809547953,0.0,0.5609614450372447,1.0344054593044645,0.00016099737503843134,0.012663435890378051,1266,0.012663435890378051,5.051947272769302e+33,0.022436000239960858,0.8549358923824906,2,2,0.4791620555928342,0.8627406963329126,partial accretion,super-catastrophic disruption,0.005,0.1,-6.10301267001736e+27,3.302858462513557e+28,2.6925571955118214e+28,nan,nan,nan,False,False,0.1,178.8944557994825,partial accretion,102.2900000000036,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V05000_B06413_OMEGA0900,DD,1.0,0.1,0.5,0.6413,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,3.110605961667006,9.51861098094901,0.4994325208266677,0.5006395601600865,0.6426961158357947,1.076781834605764,0.2988154985605158,39.993157121757775,3.602515930044257e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.0005691311240243433,2.8310136400013164,3.0666557816291156,6.587417976694421e+34,1.6078181199130595e+33,179.99877767758235,179.99833730305937,-1.0,6.172433688245801e+24,2.4845884621784386e+22,99360,1.0335276260416257,4.1420333161538293e+34,0.33415129935499405,99357,1.0334969232916411,1.8077255729068862,4.143705246574945e+34,nan,nan,0.0002796871733719577,6.240290646697642,0.3341612262000285,0.08099251669814155,3,0.0024961585353364016,1.7369029129686584e+31,0.717351417820193,0.0,0.3239310662869594,1.0334053964966272,0.00012222954499837012,0.013702266528255302,1370,0.013702266528255302,5.550291584682627e+33,0.017875022285004163,0.8591169342438849,2,2,0.24293854958881783,0.8565017037538037,partial accretion,super-catastrophic disruption,0.005,0.1,-4.1289701161457695e+27,1.7472330244607333e+29,1.7059433232992755e+29,nan,nan,nan,False,False,0.1,179.5153206913233,partial accretion,102.02000000000349,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V06000_B06129_OMEGA0900,DD,1.0,0.1,0.6,0.6129,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,2.712661642503394,9.51861098094901,0.4772520911618652,0.6007634685923465,0.6141541256023288,1.1268255833689513,0.3274343147624004,37.89048323223255,3.6025110290473813e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.0005691310152111574,2.8310136400013164,3.0666563679485686,6.587417976694421e+34,1.607818117220405e+33,179.99877767758235,179.9983372734675,-1.0,6.165179238078574e+24,1.0102655328643248e+22,99297,1.0328589041252008,4.1652870541429995e+34,0.3343771302299866,99294,1.0328290674015792,1.8121763384302585,4.1666306151139765e+34,nan,nan,0.00028186834449338424,6.192001642225185,0.33438678983227216,0.08135288733894905,3,0.002425749887918446,1.355503108962191e+31,0.7219826049522943,0.0,1.0,1.0327792033992123,7.970072598822461e-05,0.014370988444680377,1433,0.014370988444680377,5.818220143455594e+33,0.01636151804525054,0.795620159555721,2,2,0.9186471126610509,0.8437806088556734,partial accretion,super-catastrophic disruption,0.005,0.1,-1.3525824516527047e+27,1.1227373194699125e+29,1.1092114949533855e+29,nan,nan,nan,False,False,0.1,179.67146722050066,partial accretion,101.79000000000339,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V07000_B05837_OMEGA0900,DD,1.0,0.1,0.7,0.5837,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,2.4415628187270215,9.51861098094901,0.4544968474380579,0.7008873226265042,0.5848716026066062,1.1832422360439216,0.3464456213140118,35.793919842899506,3.60251011180901e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.0005691308547163246,2.8310136400013164,3.066657232745297,6.587417976694421e+34,1.6078181266806165e+33,179.99877767758235,179.99833728924975,-1.0,6.159802457939127e+24,4.3359780997515255e+21,99226,1.0321264044737546,4.184715163128448e+34,0.3348327577415884,99226,1.0321264044737546,1.815226795763879,4.184715163128448e+34,nan,nan,0.00028269889935350693,6.173809859131588,0.3348327577415884,0.08126042374133575,0,0.0,0,0.7260907183055516,nan,nan,1.0320658650001489,6.0539473606034637e-05,0.01510348809612621,1504,0.01510348809612621,5.596921373778822e+33,0.0006486668986363493,0.7691125750272664,3,2,nan,0.834352116161728,partial accretion,super-catastrophic disruption,0.005,0.1,-4.6920291788216216e+26,7.49090088444421e+28,7.443980592655994e+28,nan,nan,nan,False,False,0.1,179.8174410047829,partial accretion,101.60000000000332,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V08000_B05547_OMEGA0900,DD,1.0,0.1,0.8,0.5547,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,2.2481793568944286,9.51861098094901,0.4318940715792072,0.8010115605701008,0.5557852816609868,1.2451661215703782,0.35753497311964677,33.76482007802053,3.602509109146745e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.000569130854247197,2.8310136400013164,3.0666572352731047,6.587417976694421e+34,1.6078181327206074e+33,179.99877767758235,179.99833727587867,-1.0,6.159316782571217e+24,1.7225118478464964e+21,99195,1.0318004865643124,4.189599485131553e+34,0.3349290271860473,99191,1.0317607042661505,1.7986292476382104,4.191452701767359e+34,nan,nan,0.00028354024113390623,6.155490469411258,0.3349419412720049,0.08134720630871145,4,0.0032343331838912614,2.4779533287636803e+31,0.7194516990552842,0.0,1.0,1.0317607042661505,3.9782298161862516e-05,0.015429406005568521,1535,0.015429406005568521,5.945507607643682e+33,0.0012699299996862346,0.7464110044278874,2,2,0.9186527936912885,0.833500456517998,partial accretion,super-catastrophic disruption,0.005,0.1,-1.5591460030437627e+26,4.28775754995549e+28,4.272166089925052e+28,nan,nan,nan,False,False,0.1,179.77732844192073,partial accretion,101.44000000000327,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V09000_B05266_OMEGA0900,DD,1.0,0.1,0.9,0.5266,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,2.10535506563188,9.51861098094901,0.40995004794035245,0.9011367292998519,0.5275470618981583,1.3118180342688177,0.3623917506025348,31.839869011662003,3.602505716455837e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.000569130878278952,2.8310136400013164,3.0666571057824057,6.587417976694421e+34,1.6078181208256436e+33,179.99877767758235,179.99833729999057,-1.0,6.155329346118954e+24,0,99133,1.0311747676659897,4.206108892184762e+34,0.3351322627853643,99133,1.0311747676659897,1.802161765056785,4.206108892184762e+34,nan,nan,0.00028131589571240185,6.20416150880658,0.3351322627853643,0.0810365684202135,0,0.0,0,0.7179927350823845,nan,nan,1.0311444979291864,3.026973680301731e-05,0.016055124903891417,1597,0.016055124903891417,6.114655188866604e+33,0.001220436818841639,0.7427190421677091,2,1,nan,0.8265082577516932,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,101.3100000000032,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V10000_B04997_OMEGA0900,DD,1.0,0.1,1.0,0.4997,0.9,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,1.9969369086380355,9.51861098094901,0.38898706404425665,1.0012614134657734,0.500570847164183,1.38251349658336,0.3625297512176215,30.037774136235818,3.6025047966825563e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.0006165033002078781,0.0005691311279953454,2.8310136400013164,3.066655760232119,6.587417976694421e+34,1.6078181262632515e+33,179.99877767758235,179.9983372677684,-1.0,6.152521122234097e+24,0,99066,1.0304775217941247,4.206805701805875e+34,0.33536852870518163,99066,1.0304775217941247,1.7860873528646355,4.206805701805875e+34,nan,nan,0.00029042485000818375,6.009572706829834,0.33536852870518163,0.0811298613520545,0,0.0,0,0.7260517694571689,nan,nan,1.0304671432064028,1.0378587722086054e-05,0.016752370775756226,1664,0.016752370775756226,5.789313482501556e+33,0.0005848206748195586,0.7094406692154512,3,1,nan,0.8215838759293664,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,101.20000000000316,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0100_V10000_B10468_OMEGA0500,DD,1.0,0.1,1.0,1.0468,0.5,100730,1.047200083786813,0.1003289266586396,1.4462469094776986,1.9969349911667018,9.51861098094901,0.3889866520245011,1.0012634354343992,1.0486756597771199,1.3825149609597598,0.7594858814663029,90.0,3.625586712143683e+34,0.9517154901733225,0.0954845936134905,0.3300074595826021,0.33006873510280804,0.968906278822263,0.4773406306554357,0.00032563638444453146,0.0002991266827145135,5.359748895908857,5.834749465195894,2.8944062301507946e+34,7.011770408947314e+32,179.99825423559807,179.9979368261734,1.0,5.684709805569692e+24,5.690813831539905e+23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,nan,0.0012498717628674555,partial accretion,disruption,0.005,0.1,-3.6019782177666657e+28,2.5006585958663797e+31,2.497056617648613e+31,nan,nan,nan,False,False,0.1,179.87972892314156,accretionary hit-and-run,101.2600000000032,6.208941094416606e+19,5.851043640009428e+19,6.328266334201851e+19,False
DD_J1000_G0300_V01000_B02450_OMEGA0900,DD,1.0,0.3,0.1,0.245,0.9,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,13.7875158041433,9.14982347728879,0.6867532492007566,0.10018157636495685,0.24563304557261373,0.8820598604586802,0.0278982264310195,14.219247830168252,3.6049347016002853e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.0006126660974748145,0.0005757295040816604,2.8487446248257218,3.0315091368789315,5.083369511944331e+34,7.266618194233941e+33,179.9990520578465,179.99606508628582,-1.0,6.251040512089631e+24,0,99230,1.046811420262851,3.6131320844011396e+34,0.3303063935094272,99230,1.046811420262851,1.7290086503139752,3.6131320844011396e+34,nan,nan,0.0002382842025789575,7.324569707536528,0.3303063935094272,0.23156750178454646,0,0.0,0,0.6175030893978484,nan,nan,1.046811420262851,0,0.0009289715995372595,96,0.0009289715995372595,1.2664150934102155e+32,0.0,0.7269744086186913,1,1,nan,0.9956778355953338,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,103.73000000000417,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
DD_J1000_G0300_V01000_B06849_OMEGA0500,DD,1.0,0.3,0.1,0.6849,0.5,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,13.786846718701453,9.14982347728879,0.6867528136423989,0.1001865017889719,0.6865784664653102,0.8820604198863763,0.07798320070597559,43.3598713794767,3.6246440173920005e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.00032329970071206626,0.0003033488163226798,5.398487063706676,5.7535390220141105,2.2191671961984503e+34,3.197439308478008e+33,179.99821769255576,179.9982214407157,1.0,6.25475244688237e+24,0,99280,1.0473112834269402,3.6154856128116456e+34,0.33014874410605377,99266,1.047162227037841,1.6973904434711091,3.6074640910057153e+34,nan,nan,0.0002466454648063087,7.076267359567876,0.33019573852429335,0.2317196234865603,14,0.012118405617828301,8.04378537057978e+31,0.6194855633106238,0.0,0.18619557610839566,1.047162227037841,0.0001490563890992881,0.00042910843544799275,46,0.00042910843544799275,7.009785402561439e+31,0.0,0.9486026294870209,1,1,-0.04552404737816465,0.9982347234861512,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,103.89000000000422,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
DD_J1000_G0300_V01000_B10493_OMEGA0900,DD,1.0,0.3,0.1,1.0493,0.9,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,13.787516029476853,9.14982347728879,0.6867532493474326,0.1001815747062623,1.0518056829629276,0.8820598602702909,0.1194607694447547,90.0,3.6322371596149904e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.0006126660974748145,0.0005757292078947384,2.8487446248257218,3.0315106964547667,5.083369511944331e+34,7.266618123512e+33,179.9990520578465,179.99606508434073,1.0,6.242677295136552e+24,0,99066,1.0452338827494156,3.4456614201935187e+34,0.3307539157626185,97334,1.0286275513772414,1.5802940242447199,2.4137893156762575e+34,nan,nan,0.00019054419078379367,9.159708542228488,0.335005403806274,0.22093147802756552,1732,1.3501082416401797,1.0319088134185949e+34,0.49077454169090684,0.06740871097025976,0.8373064476311535,1.0284279469679252,0.016805935781490533,0.0025065091129725676,260,0.0025065091129725676,1.92934100564429e+33,0.021266750674410778,0.7668236289189282,1,1,0.616374969603588,0.9899170102173044,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,104.21000000000436,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
DD_J1000_G0300_V02000_B02404_OMEGA0900,DD,1.0,0.3,0.2,0.2404,0.9,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,7.028676035908349,9.14982347728879,0.6738525326614228,0.2002793696313788,0.241018859570757,0.8989466475210647,0.05369740840262036,13.94668207058673,3.604934223347001e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.0006126660974748145,0.0005757294029237156,2.8487446248257218,3.0315096695271375,5.083369511944331e+34,7.266618083013791e+33,179.9990520578465,179.99606508248826,-1.0,6.25099366273931e+24,0,99217,1.0466911544884734,3.620583452514231e+34,0.3303443460172199,99217,1.0466911544884734,1.7644217391040766,3.620583452514231e+34,nan,nan,0.0002364058040016001,7.382768199644186,0.3303443460172199,0.23147920818518003,0,0.0,0,0.6256814677674031,nan,nan,1.0466819032750596,9.251213413659711e-06,0.001049237373914835,109,0.001049237373914835,1.3982059462392922e+32,0.0,0.758269170880023,1,1,nan,0.9956455644097616,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,103.37000000000401,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
DD_J1000_G0300_V02000_B06721_OMEGA0500,DD,1.0,0.3,0.2,0.6721,0.5,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,7.028580350668745,9.14982347728879,0.6738520535237277,0.20028223859106303,0.6736804102277073,0.8989472867106648,0.15009358462948255,42.35176013198409,3.624638792396214e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.00032329970071206626,0.0003033488346123307,5.398487063706676,5.753538675119025,2.2191671961984503e+34,3.1974392934928154e+33,179.99821769255576,179.99822142801062,1.0,6.253273510471443e+24,0,99256,1.0470821490681732,3.611981985035588e+34,0.3302209909883502,99220,1.0467064739642455,1.7009683774135318,3.592314439826742e+34,nan,nan,0.00024507943959761074,7.121483772200304,0.3303395111353011,0.2315642043099084,36,0.030542691376219504,1.99370791656291e+32,0.6162928903672217,0.0,0.29550683503727954,1.0467064739642455,0.0003756751039274999,0.0006582427942151175,70,0.0006582427942151175,1.3153661485654993e+32,0.0,0.8994821723498082,1,1,0.06394263072737114,0.9972159893726683,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,103.49000000000407,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
DD_J1000_G0300_V02000_B10296_OMEGA0900,DD,1.0,0.3,0.2,1.0296,0.9,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,7.028676048105046,9.14982347728879,0.6738525327224958,0.20027936926568687,1.0320474012856058,0.8989466474395909,0.22993333716800185,90.0,3.632236929494921e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.0006126660974748145,0.0005757291339512123,2.8487446248257218,3.0315110858055516,5.083369511944331e+34,7.266618148949222e+33,179.9990520578465,179.99606508128414,1.0,6.255324348944316e+24,0,99292,1.047407044128515,3.611097159484197e+34,0.3300982027263639,97915,1.0340296343990467,1.6255967209098385,2.7950513539684605e+34,nan,nan,0.00020825856827412392,8.380587970320674,0.333791365255619,0.22527884707196763,1377,1.087594286948653,8.160498540980278e+33,0.5329825314458487,0.04462892450805241,0.7403331663868338,1.0338012393750087,0.013605804753506465,0.0003333477338730076,34,0.0003333477338730076,1.6812472462412674e+32,0.06396360191131023,0.7022697515947319,1,1,0.5150543193148661,0.9986286661437059,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,103.74000000000416,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
DD_J1000_G0300_V03000_B02333_OMEGA0900,DD,1.0,0.3,0.3,0.2333,0.9,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,4.8293085182070525,9.14982347728879,0.6538781412714636,0.3003950948307931,0.23387407843730126,0.9264072874215853,0.07583557137830059,13.52526285169052,3.604938762175294e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.0006126660974748145,0.0005757295758457103,2.8487446248257218,3.0315087590046965,5.083369511944331e+34,7.266618161125053e+33,179.9990520578465,179.99606508526693,-1.0,6.247449685964252e+24,0,99175,1.0462581957948542,3.6227563646593864e+34,0.3304810478916434,99175,1.0462581957948542,1.7627206578107004,3.6227563646593864e+34,nan,nan,0.00023622103571645865,7.388542881884943,0.3304810478916434,0.2314246808298048,0,0.0,0,0.625078247450603,nan,nan,1.0462581957948542,0,0.0014821960675341168,151,0.0014821960675341168,1.8418221100718643e+32,0.0,0.642880522002881,1,1,nan,0.9932043708523731,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,102.96000000000386,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
DD_J1000_G0300_V03000_B06522_OMEGA0500,DD,1.0,0.3,0.3,0.6522,0.5,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,4.8292755080708245,9.14982347728879,0.6538776161109269,0.3003973894214297,0.6537089224654874,0.9264080314637979,0.211971881806599,40.82182596627306,3.624618629965429e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.00032329970071206626,0.00030334883770860463,5.398487063706676,5.753538616392801,2.2191671961984503e+34,3.1974393135220226e+33,179.99821769255576,179.9982214380517,1.0,6.251864848085997e+24,0,99231,1.046827776713104,3.6076322649059156e+34,0.33030123254578647,99123,1.0456851310801827,1.7029936097122447,3.544795090087533e+34,nan,nan,0.00024325443110082516,7.174912473725578,0.3306519654663783,0.23154131274335982,108,0.09289801893668029,6.313097634358107e+32,0.6147991370802327,0.0093301550074543,0.22793052853729814,1.0456630760349357,0.001164700678168133,0.0009126151492843082,95,0.0009126151492843082,1.5631532615055597e+32,0.0,0.7704148018904985,1,1,-0.0036107842060616735,0.996245662037543,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,103.05000000000389,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
DD_J1000_G0300_V03000_B09992_OMEGA0900,DD,1.0,0.3,0.3,0.9992,0.9,99326,1.0477105685482577,0.3020947789000153,1.565942550313495,4.829308516601263,9.14982347728879,0.6538781412459171,0.3003950949424134,1.0014530621987825,0.9264072874577793,0.3247292975480659,90.0,3.6322151838942787e+34,0.8046346437494691,0.24307592479878845,0.330008737934505,0.3300293914282288,0.9208442654716047,0.6450982848418901,0.0006126660974748145,0.0005757294906415806,2.8487446248257218,3.0315092076478,5.083369511944331e+34,7.266618160239241e+33,179.9990520578465,179.99606508739728,1.0,6.253939092089458e+24,0,99269,1.0471750932804427,3.61694621012875e+34,0.33016113919001616,98134,1.0360135836404853,1.6563490436084949,2.953389705618187e+34,nan,nan,0.00021886435707007897,7.974479149364125,0.333285936231514,0.2271243279064543,1135,0.9074398081266125,6.63594762080158e+33,0.5614742520706762,0.04011684540363045,0.6650694852264714,1.035973026168411,0.01120206711203162,0.0005652985819454957,57,0.0005652985819454957,1.790244386260252e+32,0.056577503716999204,0.6293588264009272,1,1,0.43794515732001704,0.9976744612140327,partial accretion,super-catastrophic disruption,0.005,0.1,nan,nan,nan,nan,nan,nan,None,False,nan,nan,partial accretion,103.22000000000398,6.299775656203363e+19,5.525009674905853e+19,6.5858570611963e+19,False
